schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,85,3,3,0,85,4683,85,0,4598,4683,4813,4813,4813,3,3,2080,0,4683,4811,4813,4845,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,15,0,0,0,15,4759,15,0,4744,4759,4889,4889,4889,0,0,2080,0,4759,4887,4889,4921,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,99,3,3,0,99,4845,99,0,4746,4845,4879,4879,4879,3,3,544,0,4887,4919,4919,4927,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,16,0,0,0,16,4921,16,0,4905,4921,5179,5179,5179,0,0,4128,0,5205,5461,5461,5525,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,109,3,3,0,109,4927,109,0,4818,4927,5441,5441,5441,3,3,8224,0,4927,5439,5441,5569,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,92,2,2,0,92,5333,92,0,5241,5333,5463,5463,5463,2,2,2080,0,5461,5589,5589,5621,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,17,0,0,0,17,5525,17,0,5508,5525,5591,5591,5591,0,0,1056,0,5525,5589,5591,5607,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,115,3,3,0,115,5569,115,0,5454,5569,5827,5827,5827,3,3,4128,0,5569,5825,5827,5891,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,122,1,1,0,122,5603,122,0,5481,5603,5669,5669,5669,1,1,1056,0,5603,5667,5669,5685,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,18,0,0,0,18,5607,18,0,5589,5607,5641,5641,5641,0,0,544,0,5667,5699,5699,5707,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,104,2,2,0,104,5621,104,0,5517,5621,5687,5687,5687,2,2,1056,0,5621,5685,5687,5703,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,125,1,1,0,125,5685,125,0,5560,5685,5943,5943,5943,1,1,4128,0,5685,5941,5943,6007,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,119,2,2,0,119,5703,119,0,5584,5703,5769,5769,5769,2,2,1056,0,5825,5889,5889,5905,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,19,0,0,0,19,5707,19,0,5688,5707,5773,5773,5773,0,0,1056,0,5889,5953,5953,5969,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,121,3,3,0,121,5891,121,0,5770,5891,6405,6405,6405,3,3,8224,0,5941,6453,6453,6581,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,146,2,2,0,146,5905,146,0,5759,5905,6163,6163,6163,2,2,4128,0,5905,6161,6163,6227,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,20,0,0,0,20,5969,20,0,5949,5969,6995,6995,6995,0,0,16416,0,5969,6993,6995,7251,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,138,1,1,0,138,6007,138,0,5869,6007,6137,6137,6137,1,1,2080,0,6161,6289,6289,6321,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,197,2,2,0,197,6227,197,0,6030,6227,6261,6261,6261,2,2,544,0,6453,6485,6485,6493,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,149,1,1,0,149,6321,149,0,6172,6321,6451,6451,6451,1,1,2080,0,6485,6613,6613,6645,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,201,2,2,0,201,6493,201,0,6292,6493,6751,6751,6751,2,2,4128,0,6613,6869,6869,6933,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,148,3,3,0,148,6581,148,0,6433,6581,7607,7607,7607,3,3,16416,0,6993,8017,8017,8273,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,154,1,1,0,154,6645,154,0,6491,6645,6903,6903,6903,1,1,4128,0,6645,6901,6903,6967,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,207,2,2,0,207,6933,207,0,6726,6933,7959,7959,7959,2,2,16416,0,6933,7957,7959,8215,3,2
