schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,33,1,1,0,0,1622056,1622055,1622055,1,1622056,1695786,1695786,1695786,1,1,1179680,0,1695784,1769512,1769512,1787944,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,27,0,0,0,0,1714218,1622055,1622055,92163,1714218,1787948,1787948,1787948,3,3,1179680,0,1769512,1843240,1843240,1861672,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,34,1,1,0,0,1787944,1622055,1622055,165889,1787944,1861674,1861674,1861674,1,1,1179680,0,1843240,1916968,1916968,1935400,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,28,0,0,0,0,1861672,1622055,1622055,239617,1861672,1935402,1935402,1935402,3,3,1179680,0,1916968,1990696,1990696,2009128,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,35,1,1,0,0,1935400,1622055,1622055,313345,1935400,2009130,2009130,2009130,1,1,1179680,0,1990696,2064424,2064424,2082856,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,29,0,0,0,0,2009128,1622055,1622055,387073,2009128,2082858,2082858,2082858,3,3,1179680,0,2064424,2138152,2138152,2156584,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,36,1,1,0,0,2082856,1622055,1622055,460801,2082856,2156586,2156586,2156586,1,1,1179680,0,2138152,2211880,2211880,2230312,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,30,0,0,0,0,2156584,1622055,1622055,534529,2156584,2230314,2230314,2230314,3,3,1179680,0,2211880,2285608,2285608,2304040,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,37,1,1,0,0,2230312,1622055,1622055,608257,2230312,2304042,2304042,2304042,1,1,1179680,0,2285608,2359336,2359336,2377768,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,31,0,0,0,0,2304040,1622055,1622055,681985,2304040,2377770,2377770,2377770,3,3,1179680,0,2359336,2433064,2433064,2451496,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,38,1,1,0,0,2377768,1622055,1622055,755713,2377768,2451498,2451498,2451498,1,1,1179680,0,2433064,2506792,2506792,2525224,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,32,0,0,0,0,2451496,1622055,1622055,829441,2451496,2506794,2506794,2506794,3,3,884768,0,2506792,2562088,2562088,2575912,0,3
