decode_tokens,placement,tile_jobs,completion_effect_s3_vs_s1_pct,tilejob_p95_effect_s3_vs_s1_pct,tilejob_p99_effect_s3_vs_s1_pct,incremental_remote_link_bytes,successful_steals,evidence_type,claim_boundary
1,channel_affinity,802,-7.564188,-19.794257,-19.515662,416445920,398,dependency-aware-analytical-model-v2,"ONNX-derived shapes, modeled placement, conservative stage barriers, and serialized token repetition. TileJob percentiles are not request-level tail latency."
1,round_robin,802,-0.589655,0.000000,0.000000,43256880,43,dependency-aware-analytical-model-v2,"ONNX-derived shapes, modeled placement, conservative stage barriers, and serialized token repetition. TileJob percentiles are not request-level tail latency."
1,size_aware,802,-0.760173,0.000000,0.000000,110816720,117,dependency-aware-analytical-model-v2,"ONNX-derived shapes, modeled placement, conservative stage barriers, and serialized token repetition. TileJob percentiles are not request-level tail latency."
1,source_rule,802,4.804703,0.279120,0.251348,395167616,376,dependency-aware-analytical-model-v2,"ONNX-derived shapes, modeled placement, conservative stage barriers, and serialized token repetition. TileJob percentiles are not request-level tail latency."
32,size_aware,25664,-0.760173,0.000000,0.000000,3546135040,3744,dependency-aware-analytical-model-v2,"ONNX-derived shapes, modeled placement, conservative stage barriers, and serialized token repetition. TileJob percentiles are not request-level tail latency."
32,source_rule,25664,4.804703,0.279120,0.251348,12645363712,12032,dependency-aware-analytical-model-v2,"ONNX-derived shapes, modeled placement, conservative stage barriers, and serialized token repetition. TileJob percentiles are not request-level tail latency."
