schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,0,0,0,0,0,0,0,0,0,0,73730,73730,73730,0,0,1179680,0,0,73728,73730,92162,0,0
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,1,1,1,0,0,0,0,0,0,0,18434,18434,18434,2,2,294944,0,0,18432,18434,23042,1,2
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,2,2,2,0,0,0,0,0,0,73730,92164,92164,92164,0,0,294944,0,0,18432,92164,96772,3,0
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,3,3,3,0,0,96773,96772,96772,1,96773,162311,162311,162311,2,2,1048608,0,96773,162309,162311,178695,1,2
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,4,3,0,1,0,178695,96772,96772,81923,178695,186889,186889,195178,2,0,131104,132624,178695,186887,195178,197226,1,2
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,5,0,0,0,0,197227,197226,197226,1,197227,270957,270957,270957,0,0,1179680,0,197227,270955,270957,289389,3,0
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,12,1,1,0,0,197227,197226,197226,1,197227,270957,270957,270957,2,2,1179680,0,197227,270955,270957,289389,2,2
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,6,0,0,0,0,289389,197226,197226,92163,289389,363119,363119,363119,0,0,1179680,0,289389,363117,363119,381551,3,0
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,13,1,1,0,0,289389,197226,197226,92163,289389,363119,363119,363119,2,2,1179680,0,289389,363117,363119,381551,2,2
varp.k26.scheduler-event.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,18,1,2,1,0,289389,197226,197226,92163,363119,418417,418417,473978,2,2,884768,888976,363117,418413,473978,487802,2,2
