scheduler,evidence_type,seed_count,process_repetitions,request_serializer_wait_median,request_serializer_wait_min,request_serializer_wait_max,request_credit_wait_median,request_credit_wait_min,request_credit_wait_max,request_cdc_wait_median,request_cdc_wait_min,request_cdc_wait_max,response_serializer_wait_median,response_serializer_wait_min,response_serializer_wait_max,response_cdc_wait_median,response_cdc_wait_min,response_cdc_wait_max,bundle_contention_wait_median,bundle_contention_wait_min,bundle_contention_wait_max,memory_command_wait_median,memory_command_wait_min,memory_command_wait_max
Oracle,analytical-model,5,3,585708.0,570792.0,590064.0,844840.0,757996.0,887756.0,1000.0,1000.0,1000.0,5652.0,5640.0,5716.0,1000.0,1000.0,1000.0,844840.0,757996.0,887756.0,11732.0,11286.0,16238.0
S0,analytical-model,5,3,585708.0,570792.0,590064.0,801682.0,724124.0,838264.0,1000.0,1000.0,1000.0,5652.0,5640.0,5716.0,1000.0,1000.0,1000.0,801682.0,724124.0,838264.0,158750.0,149345.0,181372.0
S0-physical,analytical-model,5,3,585708.0,570792.0,590064.0,802782.0,725513.0,839168.0,1000.0,1000.0,1000.0,5652.0,5640.0,5716.0,1000.0,1000.0,1000.0,802782.0,725513.0,839168.0,165533.0,155930.0,187998.0
S1,analytical-model,5,3,585708.0,570792.0,590064.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,5652.0,5640.0,5716.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,126113.0,115999.0,150543.0
S2,analytical-model,5,3,585708.0,570792.0,590064.0,890094.0,802108.0,928084.0,1000.0,1000.0,1000.0,5652.0,5640.0,5716.0,1000.0,1000.0,1000.0,890094.0,802108.0,928084.0,179463.0,166026.0,207907.0
S3,analytical-model,5,3,585708.0,570792.0,590064.0,881252.0,796658.0,928166.0,1000.0,1000.0,1000.0,5652.0,5640.0,5716.0,1000.0,1000.0,1000.0,881252.0,796658.0,928166.0,178947.0,165063.0,205921.0
