workload,scheduler,evidence_type,seed_count,process_repetitions,total_completion_cycles_median,total_completion_cycles_min,total_completion_cycles_max,p50_tile_latency_cycles_median,p50_tile_latency_cycles_min,p50_tile_latency_cycles_max,p95_tile_latency_cycles_median,p95_tile_latency_cycles_min,p95_tile_latency_cycles_max,p99_tile_latency_cycles_median,p99_tile_latency_cycles_min,p99_tile_latency_cycles_max,cluster_utilization_mean_median,cluster_utilization_mean_min,cluster_utilization_mean_max,cluster_compute_utilization_mean_median,cluster_compute_utilization_mean_min,cluster_compute_utilization_mean_max,cluster_reservation_occupancy_mean_median,cluster_reservation_occupancy_mean_min,cluster_reservation_occupancy_mean_max,cluster_idle_cycles_median,cluster_idle_cycles_min,cluster_idle_cycles_max,cluster_compute_idle_cycles_median,cluster_compute_idle_cycles_min,cluster_compute_idle_cycles_max,successful_steals_median,successful_steals_min,successful_steals_max,remote_weight_bytes_median,remote_weight_bytes_min,remote_weight_bytes_max,activation_retransmission_bytes_median,activation_retransmission_bytes_min,activation_retransmission_bytes_max,partial_sum_traffic_bytes_median,partial_sum_traffic_bytes_min,partial_sum_traffic_bytes_max
bursty,S3,analytical-model,5,3,66958.0,64952.0,69166.0,32130.0,30706.5,32957.0,60890.85,59041.5,62277.94999999999,63569.090000000004,61548.229999999996,65452.42,0.13837655084976003,0.13706156203915218,0.14146181188207535,0.13837655084976003,0.13706156203915218,0.14146181188207535,0.9963484572418531,0.9944481392591736,0.9986189513086002,978.0,366.0,1536.0,229944.0,223664.0,238744.0,24.0,14.0,53.0,44032.0,22528.0,79872.0,2752.0,1408.0,4992.0,1536.0,896.0,3392.0
hotspot,Oracle,analytical-model,5,3,171242.0,168991.0,174080.0,49453.0,47569.5,50832.5,157562.74999999997,155307.7,160408.59999999998,167702.55,165454.53,170545.54,0.0698679669740763,0.06916360294117647,0.0713410773354794,0.0698679669740763,0.06916360294117647,0.0713410773354794,0.997757559477231,0.9977276896402767,0.9977941176470588,1536.0,1536.0,1536.0,636840.0,627740.0,648160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,S0,analytical-model,5,3,170816.0,168512.0,173600.0,84812.5,82556.5,85453.5,160015.75,158065.34999999998,163650.8,167749.87,165444.27,170821.87,0.07008506616257089,0.06935483870967742,0.07154386631219142,0.07008506616257089,0.06935483870967742,0.07154386631219142,0.9982115258523792,0.9977227079395085,0.9985627880184331,1222.0,998.0,1542.0,635136.0,625824.0,646240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,S0-physical,analytical-model,5,3,170823.0,168519.0,173607.0,84819.5,82563.5,85460.5,160022.75,158072.35,163664.44999999998,167756.87,165451.27000000002,170828.87,0.07008216815230939,0.06935204225636063,0.0715408944985432,0.07008216815230939,0.06935204225636063,0.0715408944985432,0.998211599140631,0.9977228021053004,0.9985628459681926,1222.0,998.0,1542.0,635164.0,625852.0,646268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,S1,analytical-model,5,3,170908.0,168512.0,173750.0,84472.5,82621.5,85540.5,159940.25,158348.3,163609.05,167918.85,165482.81,170812.47,0.06989101620029456,0.06929496402877698,0.07154386631219142,0.06989101620029456,0.06929496402877698,0.07154386631219142,0.9931280575539568,0.985740795287187,0.9947171117134783,4776.0,3664.0,9682.0,635504.0,625824.0,646840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,S2,analytical-model,5,3,170784.0,168512.0,173632.0,84472.5,82621.5,85540.5,159940.25,158348.3,163609.05,167920.52,165482.92,170812.15,0.07008506616257089,0.06934205676373019,0.07154386631219142,0.07008506616257089,0.06934205676373019,0.07154386631219142,0.9980562338739403,0.9977123290922901,0.9989138326775342,1318.0,742.0,1542.0,635008.0,625824.0,646368.0,5.0,3.0,9.0,18432.0,10240.0,22528.0,1152.0,640.0,1408.0,320.0,192.0,576.0
hotspot,S3,analytical-model,5,3,170816.0,168512.0,173632.0,84472.5,82621.5,85540.5,159940.25,158348.3,163609.05,167749.99,165320.91999999998,170812.47,0.07008506616257089,0.06934205676373019,0.07154386631219142,0.07008506616257089,0.06934205676373019,0.07154386631219142,0.9977797871360118,0.9976754489603025,0.9985606654975079,1542.0,998.0,1574.0,635136.0,625824.0,646368.0,5.0,4.0,9.0,16384.0,8192.0,20480.0,1024.0,512.0,1280.0,320.0,256.0,576.0
mixed,Oracle,analytical-model,5,3,395418.0,369894.0,405381.0,64486.0,58629.0,66246.5,341161.24999999994,315726.14999999997,351172.69999999995,383598.58999999997,358083.58,393526.64,0.08879717160068586,0.08622012378478518,0.09293473265313847,0.08879717160068586,0.08622012378478518,0.09293473265313847,0.9959561780192101,0.9956771399373875,0.9960555625448653,6396.0,6396.0,6396.0,1441224.0,1342072.0,1481716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,S0,analytical-model,5,3,396401.0,375640.0,406502.0,194660.5,186458.0,198037.5,378232.29999999993,355043.05,382472.85,392507.83999999997,368829.44,401121.64999999997,0.08772634985416732,0.0859823567903725,0.09151315088914919,0.08772634985416732,0.0859823567903725,0.09151315088914919,0.9980865335859395,0.9964392088963093,0.9996819694044629,3034.0,512.0,5528.0,1445156.0,1365056.0,1486200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,S0-physical,analytical-model,5,3,396702.0,376006.0,406728.0,194828.5,186691.0,198195.0,378505.3,355395.04999999993,382623.85,392808.84,369195.51,401347.65,0.08764843832456798,0.08593458035837218,0.09142407302011138,0.08764843832456798,0.08593458035837218,0.09142407302011138,0.9980879854399524,0.9964468762629968,0.9996820942044283,3034.0,512.0,5521.0,1446360.0,1366520.0,1487104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,S1,analytical-model,5,3,513745.0,483649.0,528452.0,145009.5,133983.5,158164.5,478553.04999999993,446919.6,494366.25,506354.73000000004,475770.73,521884.64999999997,0.06834519070745214,0.06626398668350188,0.0710763384189774,0.06834519070745214,0.06626398668350188,0.0710763384189774,0.4130757913346734,0.40164010571297487,0.43308938920580836,1210683.0,1096743.0,1262458.0,1914532.0,1797092.0,1972944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,S2,analytical-model,5,3,432283.0,410474.0,451004.0,134459.5,123761.0,151932.5,403766.24999999994,380632.2,423465.45,426120.83,403919.83,445555.37,0.08122456816483646,0.0780835646690495,0.08374708264104425,0.08122456816483646,0.0780835646690495,0.08374708264104425,0.9982453624130488,0.9965704648577903,0.9994113134251581,3034.0,1062.0,5702.0,1588684.0,1504392.0,1663152.0,421.0,403.0,431.0,3799040.0,3301376.0,3950592.0,127360.0,112640.0,131712.0,45248.0,42112.0,46272.0
mixed,S3,analytical-model,5,3,434075.0,409625.0,448968.0,128867.5,118828.5,139440.5,394375.44999999995,372474.14999999997,410971.15,422255.58999999997,397814.58,437159.57999999996,0.08088924724989921,0.07843766148144188,0.08392065913945682,0.08088924724989921,0.07843766148144188,0.08392065913945682,0.9962909635431665,0.9960714067744889,0.9964312601343526,6432.0,6409.0,6440.0,1595852.0,1500996.0,1655008.0,429.0,411.0,445.0,2957312.0,2543616.0,3088384.0,103936.0,91136.0,108032.0,43392.0,40960.0,45440.0
skew,Oracle,analytical-model,5,3,241064.0,227555.0,243712.0,32074.5,31739.0,33115.5,187575.14999999994,174106.64999999994,190197.99999999994,229543.58,216067.53,232242.38999999998,0.07344445457484107,0.0714203650210084,0.07504119883105183,0.07344445457484107,0.0714203650210084,0.07504119883105183,0.9933669067135699,0.9929731273757992,0.9934389771533614,6396.0,6396.0,6396.0,894304.0,841916.0,905224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skew,S0,analytical-model,5,3,241560.0,227450.0,243839.0,121767.5,114681.0,125964.5,226610.8,214782.05000000002,229148.19999999998,237745.27,223767.57,241407.09,0.07336479549594303,0.07138316676167471,0.07507584084414157,0.07336479549594303,0.07138316676167471,0.07507584084414157,0.997975871200264,0.9975211967604249,0.9997098263354584,1914.0,264.0,2402.0,895352.0,841496.0,905732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skew,S0-physical,analytical-model,5,3,241649.0,227506.0,243881.0,121788.5,114716.0,126005.5,226652.80000000002,214838.05,229227.2,237841.19999999998,223823.56999999998,241449.09,0.07333777503734756,0.07137087349978063,0.07505736112454177,0.07333777503734756,0.07137087349978063,0.07505736112454177,0.9979764703892281,0.9975294505993274,0.9997252819705854,1914.0,250.0,2395.0,895708.0,841720.0,905900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skew,S1,analytical-model,5,3,306837.0,295306.0,309464.0,118292.5,117052.5,129268.5,285333.05,277471.64999999997,289829.85,302186.41,290522.46,305091.73,0.05709746875328222,0.056372239441135605,0.057824764820220385,0.05709746875328222,0.056372239441135605,0.057824764820220385,0.3362000774603508,0.32685195081112417,0.3546685472018855,811713.0,762281.0,831389.0,1156460.0,1112920.0,1167912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skew,S2,analytical-model,5,3,253424.0,242964.0,255662.0,102581.5,97590.5,108006.5,236527.84999999998,228289.24999999997,241622.05,249379.72999999998,238922.18000000002,252489.57,0.06931808403282459,0.06808394124894879,0.07028201708895145,0.06931808403282459,0.06808394124894879,0.07028201708895145,0.9980860765569377,0.9975988856619736,0.999581467211672,1914.0,428.0,2434.0,943752.0,903552.0,952996.0,537.0,530.0,564.0,2443776.0,2298368.0,2517504.0,130112.0,124736.0,134528.0,39808.0,38656.0,42080.0
skew,S3,analytical-model,5,3,255897.0,247360.0,256318.0,96684.5,93576.0,106996.5,233625.15,229882.5,236424.6,247296.41999999998,241784.83000000002,248888.53,0.06899888941773759,0.06801955474272851,0.06914067681551822,0.06899888941773759,0.06801955474272851,0.06914067681551822,0.9948637613195342,0.9935970331813191,0.9958045771854672,5137.0,4231.0,6554.0,953964.0,921136.0,955272.0,561.0,559.0,585.0,1519104.0,1397248.0,1554432.0,107840.0,103616.0,110208.0,36800.0,36160.0,38336.0
