schema_version,evidence_type,scheduler,workload,seed,process_repetition,clusters,channels,bundles,link_width_bits,service_overlap_mode,external_link_enabled,jobs,ledger_sha256,completed_jobs,total_completion_cycles,throughput_jobs_per_kcycle,mean_tile_latency_cycles,p50_tile_latency_cycles,p95_tile_latency_cycles,p99_tile_latency_cycles,cluster_utilization_mean,cluster_compute_utilization_mean,cluster_reservation_occupancy_mean,cluster_idle_cycles,cluster_compute_idle_cycles,queue_wait_mean_cycles,dependency_wait_mean_cycles,dependency_edge_count,max_queue_depth,queue_imbalance,ingress_backlog_final,steal_attempts,successful_steals,steal_success_rate,remote_weight_bytes,activation_retransmission_bytes,partial_sum_traffic_bytes,charged_link_bytes,base_link_bytes,incremental_remote_link_bytes,base_link_service_cycles,incremental_remote_link_service_cycles,base_memory_service_cycles,incremental_remote_memory_service_cycles,remote_copy_cycles,remote_transfer_semantics,link_bundle_utilization_mean,ddr_channel_utilization_mean,request_serializer_wait,request_credit_wait,request_cdc_wait,outstanding_table_full_wait,response_serializer_wait,response_cdc_wait,consumer_fifo_full_wait,bundle_contention_wait,memory_command_wait,central_queue_control_cycles,oracle_resource_lower_bound_cycles,oracle_schedule_kind,starvation_ratio,completion_reordered,timed_out,correctness,input_job_id_count,completed_job_id_count,duplicate_completion_count,subset
varp.k26.scheduler-model.v2,analytical-model,S1,skew,31,1,4,4,4,128,full,True,1000,7e8c8f9c09dc12f1f417dedf8edb758f93bf412b32656f75b309bd3c7f7702e9,1000,292002,3.424634077848782,121725.183,113214.5,275902.05,287557.21,0.060691365127636114,0.060691365127636114,0.33860298902062314,772517,1097120,121329.692,0,0,775,713,0,0,0,0.0,0,0,0,4568832,4568832,0,285552,0,283552,0,0,prefetch-home-then-copy-to-thief,0.24447777754946884,0.24276546051054443,284552,0,1000,0,3698,1000,0,0,39307,0,71388,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,31,2,4,4,4,128,full,True,1000,7e8c8f9c09dc12f1f417dedf8edb758f93bf412b32656f75b309bd3c7f7702e9,1000,292002,3.424634077848782,121725.183,113214.5,275902.05,287557.21,0.060691365127636114,0.060691365127636114,0.33860298902062314,772517,1097120,121329.692,0,0,775,713,0,0,0,0.0,0,0,0,4568832,4568832,0,285552,0,283552,0,0,prefetch-home-then-copy-to-thief,0.24447777754946884,0.24276546051054443,284552,0,1000,0,3698,1000,0,0,39307,0,71388,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,43,0,4,4,4,128,full,True,1000,513b4a91b8a085ddd0cbcc11317541eb4fdb7d5b0bd82465ce6ca2d5ee260358,1000,291320,3.4326513799258547,121713.653,110111.5,272216.05,286873.81000000006,0.060023342029383496,0.060023342029383496,0.3408571330495675,768086,1095336,121316.459,0,0,787,726,0,0,0,0.0,0,0,0,4508416,4508416,0,281776,0,279776,0,0,prefetch-home-then-copy-to-thief,0.24180969380749692,0.24009336811753396,280776,0,1000,0,3636,1000,0,0,45730,0,70444,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,43,1,4,4,4,128,full,True,1000,513b4a91b8a085ddd0cbcc11317541eb4fdb7d5b0bd82465ce6ca2d5ee260358,1000,291320,3.4326513799258547,121713.653,110111.5,272216.05,286873.81000000006,0.060023342029383496,0.060023342029383496,0.3408571330495675,768086,1095336,121316.459,0,0,787,726,0,0,0,0.0,0,0,0,4508416,4508416,0,281776,0,279776,0,0,prefetch-home-then-copy-to-thief,0.24180969380749692,0.24009336811753396,280776,0,1000,0,3636,1000,0,0,45730,0,70444,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,43,2,4,4,4,128,full,True,1000,513b4a91b8a085ddd0cbcc11317541eb4fdb7d5b0bd82465ce6ca2d5ee260358,1000,291320,3.4326513799258547,121713.653,110111.5,272216.05,286873.81000000006,0.060023342029383496,0.060023342029383496,0.3408571330495675,768086,1095336,121316.459,0,0,787,726,0,0,0,0.0,0,0,0,4508416,4508416,0,281776,0,279776,0,0,prefetch-home-then-copy-to-thief,0.24180969380749692,0.24009336811753396,280776,0,1000,0,3636,1000,0,0,45730,0,70444,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,19,0,4,4,4,128,sequential,True,1000,1844155b9c0597662b0c4de6a0ede6d0b5793d21353d6c7456c5f8a27f523950,1000,492536,2.0303084444588824,214150.841,211519.5,462999.45,485122.72,0.03466954699757987,0.03466954699757987,0.3460432333880163,1288389,1901840,213469.086,0,0,784,720,0,0,0,0.0,0,0,0,4403456,4403456,0,275216,0,273216,0,0,prefetch-home-then-copy-to-thief,0.13969334221254892,0.13867818799031947,274216,0,1000,0,3616,1000,0,0,340235,0,68804,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,19,1,4,4,4,128,sequential,True,1000,1844155b9c0597662b0c4de6a0ede6d0b5793d21353d6c7456c5f8a27f523950,1000,492536,2.0303084444588824,214150.841,211519.5,462999.45,485122.72,0.03466954699757987,0.03466954699757987,0.3460432333880163,1288389,1901840,213469.086,0,0,784,720,0,0,0,0.0,0,0,0,4403456,4403456,0,275216,0,273216,0,0,prefetch-home-then-copy-to-thief,0.13969334221254892,0.13867818799031947,274216,0,1000,0,3616,1000,0,0,340235,0,68804,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,19,2,4,4,4,128,sequential,True,1000,1844155b9c0597662b0c4de6a0ede6d0b5793d21353d6c7456c5f8a27f523950,1000,492536,2.0303084444588824,214150.841,211519.5,462999.45,485122.72,0.03466954699757987,0.03466954699757987,0.3460432333880163,1288389,1901840,213469.086,0,0,784,720,0,0,0,0.0,0,0,0,4403456,4403456,0,275216,0,273216,0,0,prefetch-home-then-copy-to-thief,0.13969334221254892,0.13867818799031947,274216,0,1000,0,3616,1000,0,0,340235,0,68804,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,23,0,4,4,4,128,sequential,True,1000,f1f60362cbf6828488e9910a26e101f0015cae12955cdb1d50fc0fd53bb8a82b,1000,523865,1.9088887404197645,217635.135,205973.5,484548.85,518326.89,0.03322611741574642,0.03322611741574642,0.32852213833716704,1407055,2025836,216946.73,0,0,798,736,0,0,0,0.0,0,0,0,4487936,4487936,0,280496,0,278496,0,0,prefetch-home-then-copy-to-thief,0.13385891403319558,0.1329044696629857,279496,0,1000,0,3624,1000,0,0,340285,0,70124,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,23,1,4,4,4,128,sequential,True,1000,f1f60362cbf6828488e9910a26e101f0015cae12955cdb1d50fc0fd53bb8a82b,1000,523865,1.9088887404197645,217635.135,205973.5,484548.85,518326.89,0.03322611741574642,0.03322611741574642,0.32852213833716704,1407055,2025836,216946.73,0,0,798,736,0,0,0,0.0,0,0,0,4487936,4487936,0,280496,0,278496,0,0,prefetch-home-then-copy-to-thief,0.13385891403319558,0.1329044696629857,279496,0,1000,0,3624,1000,0,0,340285,0,70124,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
